lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0022,14.4937,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.494,37.2269,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2323,66.0102,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.016,84.7602,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,84.767,90.6603,0,1,5.365099999,,90.6658,91.6601,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,91.6604,94.7435,1,1,2.5485,,94.7435,95.7434,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,95.7489,100.0434,0,1,3.7734,,100.0434,101.0434,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,101.0488,105.1433,0,1,3.5655,,105.1434,106.1434,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,106.1488,109.1767,0,1,2.5085,,109.1768,110.1768,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,110.1822,112.6601,1,1,1.9503,,112.6601,113.6601,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,113.6655,117.5101,0,1,3.315099999,,117.5101,118.5101,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,118.5156,121.7267,0,1,2.686,,121.7267,122.7267,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,122.7322,124.6933,1,1,1.4314,,124.6934,125.6934,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,125.6988,127.51,1,1,1.2813,,127.51,128.51,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,128.5102,131.06,1,0,2.015,,131.06,132.06,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,132.0656,134.7767,0,1,2.1925,,134.7767,135.7767,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,135.777,140.5769,,,,,,,,,,,,,,,
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,89,muñeca,,,,,,140.5862,142.9268,1,0,1.8195,,0,0,0,88,1,non_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,71,torta,,,,,,142.9325,145.11,1,0,1.6487,,0,1,1,70,1,non_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,6,horror,,,,,,145.1102,147.51,1,0,1.865,,0,2,2,5,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,3,disco,,,,,,147.5102,154.9599,0,1,6.918,,0,3,3,2,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,177,entodo,,,,,,154.9657,156.9766,0,1,1.4847,,0,4,4,176,1,pseudoword,0,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,124,lobe,,,,,,156.9768,158.6433,0,1,1.1319,,0,5,5,123,1,pseudoword,0,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,41,pasta,,,,,,158.6436,161.2767,1,0,2.1048,,0,6,6,40,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,115,lidena,,,,,,161.2822,163.0933,0,1,1.2816,,0,7,7,114,1,pseudoword,0,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,87,muleta,,,,,,163.0936,164.76,1,0,1.1428,,0,8,8,86,1,non_cognate,1,REAL,FALSA
,,,,,,,,,62ad17e032a85a4ca119b289,001,2024-06-30_05h12.26.769,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,74,ala,,,,,,164.7602,172.3433,0,1,7.0479,,0,9,9,73,1,non_cognate,1,REAL,FALSA
