lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.003,1.456,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.458,1.906,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.907,2.239,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.24,2.638,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,2.642,5.339,0,1,2.157,,5.339,6.34,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,6.342,7.691,1,1,0.815,,7.691,8.689,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,8.69,10.256,0,1,1.021,,10.256,11.256,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,11.257,13.889,0,1,2.089,,13.889,14.89,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,14.89,16.673,0,1,1.244,,16.673,17.673,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,17.673,19.189,1,1,0.968,,19.189,20.189,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,20.19,21.573,1,0,0.851,,21.573,22.572,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,22.573,24.856,1,0,1.734,,24.856,25.856,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,25.857,27.106,1,1,0.706,,27.106,28.107,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,28.107,29.375,1,1,0.724,,29.375,30.373,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,30.376,32.106,1,0,1.196,,32.106,33.106,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,33.108,34.906,1,0,1.259,,34.907,35.906,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,35.906,37.29,,,,,,,,,,,,,,,
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,124,lobe,,,,,,37.302,38.972,0,1,1.137,,0,0,0,123,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,153,golla,,,,,,38.973,40.373,0,1,0.863,,0,1,1,152,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,100,épinas,,,,,,40.374,41.673,1,0,0.756,,0,2,2,99,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,147,alla,,,,,,41.674,42.84,1,0,0.64,,0,3,3,146,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,152,prave,,,,,,42.84,44.24,1,0,0.845,,0,4,4,151,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,190,asumie,,,,,,44.241,45.889,0,1,1.105,,0,5,5,189,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,81,sacar,,,,,,45.89,47.24,1,0,0.812,,0,6,6,80,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,73,llevar,,,,,,47.242,48.556,1,0,0.776,,0,7,7,72,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,113,nasce,,,,,,48.557,50.54,0,1,1.429,,0,8,8,112,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,145,rúo,,,,,,50.541,52.073,1,0,0.999,,0,9,9,144,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,134,molor,,,,,,52.074,53.773,0,1,1.149,,0,10,10,133,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,61,aduana,,,,,,53.773,55.889,1,0,1.568,,0,11,11,60,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,54,tapón,,,,,,55.89,58.79,0,1,2.368,,0,12,12,53,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,84,aviso,,,,,,58.791,60.14,1,0,0.802,,0,13,13,83,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,161,civas,,,,,,60.141,61.422,1,0,0.735,,0,14,14,160,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,128,pelí,,,,,,61.423,63.042,0,1,1.082,,0,15,15,127,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,87,muleta,,,,,,63.046,66.074,1,0,2.491,,0,16,16,86,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,79,suelo,,,,,,66.075,67.473,1,0,0.844,,0,17,17,78,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,60,siglo,,,,,,67.475,69.24,0,1,1.227,,0,18,18,59,1,non_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,192,próces,,,,,,69.241,70.706,1,0,0.915,,0,19,19,191,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,41,pasta,,,,,,70.707,73.123,0,1,1.885,,0,20,20,40,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,123,arane,,,,,,73.124,74.806,1,0,1.129,,0,21,21,122,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,31,civil,,,,,,74.806,76.573,1,0,1.256,,0,22,22,30,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,182,desaro,,,,,,76.574,80.407,1,0,3.282,,0,23,23,181,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,11,golf,,,,,,80.409,81.807,1,0,0.864,,0,24,24,10,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,158,babrá,,,,,,81.808,83.272,0,1,0.917,,0,25,25,157,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,1,moral,,,,,,83.273,84.59,1,0,0.785,,0,26,26,0,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,131,fuar,,,,,,84.592,86.573,1,0,1.456,,0,27,27,130,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,22,mango,,,,,,86.573,88.506,1,0,1.402,,0,28,28,21,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,136,hueas,,,,,,88.506,90.123,1,0,1.105,,0,29,29,135,1,pseudoword,0,REAL,FALSA
,,,,,,,,,5ee7fbc114d0a60f9b076fb6,001,2025-04-30_12h22.54.880,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,80,cuenco,,,,,,90.124,92.473,1,0,1.814,,0,30,30,79,1,non_cognate,1,REAL,FALSA
