lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0028,14.6097,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.6102,19.3,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3005,25.1425,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.143,30.1001,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,30.1032,31.1854,1,0,0.5447,,31.1857,32.1864,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,32.187,33.2878,1,1,0.5629,,33.2879,34.2896,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,34.29,35.3421,0,1,0.5297,,35.3422,36.3427,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,36.3433,37.094,0,1,0.2334,,37.094,38.0952,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,38.0959,38.9303,0,1,0.3129,,38.9303,39.9317,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6046ac1161b60d0fc94b0000,001,2025-04-30_08h54.47.317,empathy_intonation_perc,2024.1.4,Win32,59.88023952,39.9325,40.883,0,0,0.4088,,40.8831,41.8842,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
