lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.002,13.837,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.838,26.221,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.222,47.871,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.873,55.454,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,55.462,59.389,1,0,3.403,,59.389,60.389,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,60.39,63.438,0,0,2.512,,63.438,64.438,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,64.439,67.039,0,1,2.059,,67.039,68.038,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,68.04,69.655,1,0,1.078,,69.655,70.655,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,70.656,72.987,0,1,1.794,,72.988,73.988,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,613914cbb1f633800a5b53d1,001,2025-04-30_23h36.01.783,empathy_intonation_perc,2024.1.4,MacIntel,166.6666667,73.989,75.755,0,0,1.232,,75.755,76.755,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
