lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.003,6.502,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.504,13.718,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.719,22.201,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.202,31.768,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,31.773,32.986,1,0,0.662,,32.987,33.985,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,33.988,37.969,1,1,3.446,,37.969,38.969,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,38.97,42.252,0,1,2.74,,42.252,43.251,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,43.252,44.818,0,1,1.028,,44.818,45.819,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,45.82,47.403,0,1,1.036,,47.403,48.402,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,48.403,50.601,1,1,1.662,,50.601,51.602,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,51.603,53.535,0,1,1.38,,53.536,54.535,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,54.536,57.119,1,0,2.048,,57.119,58.118,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,58.119,59.452,1,1,0.787,,59.452,60.452,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,60.453,61.719,1,1,0.722,,61.719,62.719,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,62.719,64.569,0,1,1.313,,64.569,65.569,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,65.57,67.72,0,1,1.612,,67.72,68.719,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,68.72,71.669,,,,,,,,,,,,,,,
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,81,sacar,,,,,,71.68,73.618,0,1,1.406,,0,0,0,80,1,non_cognate,1,REAL,FALSA
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,115,lidena,,,,,,73.619,76.052,0,1,1.884,,0,1,1,114,1,pseudoword,0,REAL,FALSA
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,160,fomeó,,,,,,76.053,77.735,1,0,1.133,,0,2,2,159,1,pseudoword,0,REAL,FALSA
,,,,,,,,,,001,2025-04-30_12h12.43.886,empathy_intonation_perc,2024.1.4,Win32,60.0240096,,,,,,,,,,,,,,108,jauda,,,,,,77.736,79.952,0,1,1.671,,0,3,3,107,1,pseudoword,0,REAL,FALSA
