lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.005,5.132,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.133,7.641,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.643,12.487,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.489,16.218,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,16.225,58.043,1,0,41.277,,58.043,59.041,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,59.042,63.255,0,0,3.677,,63.255,64.254,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,64.256,67.536,1,0,2.73,,67.536,68.535,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,68.536,70.901,0,1,1.829,,70.901,71.899,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,71.904,74.665,0,1,2.224,,74.665,75.664,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,75.666,78.562,1,1,2.359,,78.562,79.562,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6437848cce0b587f816052e9,001,2024-06-30_11h17.52.546,empathy_intonation_perc,2024.1.4,Win32,60.09615385,79.564,81.66,1,0,1.557,,81.66,82.658,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
