lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0049,6.6296,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6302,12.6762,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6767,18.7901,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.7906,24.3368,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,24.3403,26.9035,0,1,2.0178,,26.904,27.9027,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,27.9038,29.6681,1,1,1.2183,,29.6683,30.6671,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,30.6676,32.8665,0,1,1.6556,,32.8665,33.8658,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,33.8665,35.482,0,1,1.071,,35.4821,36.4813,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,36.4819,38.1971,0,1,1.1682,,38.1972,39.1968,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,39.1974,40.9628,1,1,1.2178,,40.9629,41.9619,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,41.9625,43.678,0,1,1.1679,,43.6781,44.6774,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,44.6783,46.6098,0,1,1.3843,,46.6099,47.6091,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,47.6098,49.1591,1,1,1.0038,,49.1592,50.1578,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,50.1584,51.69,1,1,0.9911,,51.6901,52.6895,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,52.6898,55.5715,1,0,2.3327,,55.5715,56.5716,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,56.5996,58.504,0,1,1.3835,,58.5042,59.5032,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,59.5044,61.3862,,,,,,,,,,,,,,,
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,21,hotel,,,,,,61.4251,63.9851,1,0,2.0172,,0,0,0,20,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,52,blando,,,,,,63.9861,65.8171,0,1,1.2889,,0,1,1,51,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,149,emén,,,,,,65.8178,68.3153,0,1,1.9488,,0,2,2,148,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,143,hurcos,,,,,,68.3365,69.7316,0,1,0.8499,,0,3,3,142,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,4,flora,,,,,,69.732,71.4475,1,0,1.1745,,0,4,4,3,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,182,desaro,,,,,,71.4482,72.797,0,1,0.8053,,0,5,5,181,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,102,coyo,,,,,,72.7978,75.1291,0,1,1.7848,,0,6,6,101,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,67,llamar,,,,,,75.1297,76.3944,1,0,0.7227,,0,7,7,66,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,168,cobén,,,,,,76.3948,77.6276,0,1,0.6934,,0,8,8,167,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,45,total,,,,,,77.6282,78.9604,1,0,0.7848,,0,9,9,44,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,136,hueas,,,,,,78.961,80.293,0,1,0.793,,0,10,10,135,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,55,maldad,,,,,,80.2936,81.9587,1,0,1.1178,,0,11,11,54,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,180,pupica,,,,,,81.9593,83.325,0,1,0.8164,,0,12,12,179,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,155,kugis,,,,,,83.3256,84.5911,0,1,0.7182,,0,13,13,154,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,72,rostro,,,,,,84.5919,86.5228,1,0,1.3892,,0,14,14,71,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,183,edioso,,,,,,86.5232,87.9898,0,1,0.928,,0,15,15,182,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,68,puñal,,,,,,87.9907,91.5543,1,0,3.018,,0,16,16,67,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,186,rizate,,,,,,91.5883,92.8204,0,1,0.6899,,0,17,17,185,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,167,dobbo,,,,,,92.8211,94.0197,0,1,0.6557,,0,18,18,166,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,23,plural,,,,,,94.0203,95.3687,1,0,0.8095,,0,19,19,22,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,123,arane,,,,,,95.3693,96.5519,0,1,0.6412,,0,20,20,122,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,172,dogue,,,,,,96.5526,97.751,0,1,0.6521,,0,21,21,171,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,161,civas,,,,,,97.7517,99.0174,0,1,0.7228,,0,22,22,160,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,150,cricó,,,,,,99.018,100.5496,0,1,0.9895,,0,23,23,149,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,108,jauda,,,,,,100.5502,102.2491,0,1,1.1533,,0,24,24,107,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,75,patada,,,,,,102.2498,104.7305,1,0,1.9366,,0,25,25,74,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,119,esís,,,,,,104.7307,105.9304,0,1,0.6761,,0,26,26,118,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,64,rizado,,,,,,105.9311,108.3792,1,0,1.9064,,0,27,27,63,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,163,olzan,,,,,,108.4042,109.5948,0,1,0.6584,,0,28,28,162,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,131,fuar,,,,,,109.5959,110.8775,0,1,0.7339,,0,29,29,130,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,42,rumor,,,,,,110.878,112.1774,1,0,0.7534,,0,30,30,41,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,63,hilo,,,,,,112.1782,113.6601,1,0,0.9363,,0,31,31,62,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,104,estulo,,,,,,113.6608,115.026,0,1,0.8257,,0,32,32,103,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,83,hálito,,,,,,115.0266,116.4754,0,1,0.9019,,0,33,33,82,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,121,barbs,,,,,,116.4761,117.9245,0,1,0.9019,,0,34,34,120,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,139,sasos,,,,,,117.9251,119.3737,0,1,0.9077,,0,35,35,138,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,15,test,,,,,,119.3744,120.7902,0,1,0.8779,,0,36,36,14,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,56,pico,,,,,,120.791,122.6888,1,0,1.3595,,0,37,37,55,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,158,babrá,,,,,,122.6893,123.8882,0,1,0.6601,,0,38,38,157,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,57,regalo,,,,,,123.8887,125.1541,1,0,0.7248,,0,39,39,56,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,53,punta,,,,,,125.1545,128.2527,1,0,2.557,,0,40,40,52,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,6,horror,,,,,,128.2805,129.4521,1,0,0.6483,,0,41,41,5,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,177,entodo,,,,,,129.4527,131.2183,0,1,1.2289,,0,42,42,176,1,pseudoword,0,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,74,ala,,,,,,131.2189,132.3846,0,1,0.629,,0,43,43,73,1,non_cognate,1,REAL,FALSA
,,,,,,,,,6445b89361755459d55f2ee2,001,2024-06-30_06h04.47.937,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,62,pegar,,,,,,132.3852,133.6835,1,0,0.7616,,0,44,44,61,1,non_cognate,1,REAL,FALSA
