lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0021,4.6101,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6105,19.3096,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.31,38.3513,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.3515,48.1006,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,48.1087,51.2611,0,1,2.6249,,51.2615,52.2587,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,52.259,54.0171,1,1,1.2475,,54.0172,55.0178,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,55.0181,56.7178,0,1,1.1812,,56.7178,57.7178,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,57.7179,59.2179,1,0,0.9802,,59.2179,60.2178,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,60.218,61.8594,1,0,1.1259,,61.8594,62.8594,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5c39afacf179bd0001c8756a,001,2025-04-30_10h39.46.345,empathy_intonation_perc,2024.1.4,MacIntel,121.9512195,62.8597,65.3754,0,0,1.999,,65.3755,66.377,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
