lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.005,35.959,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.96,65.678,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.68,74.528,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.529,82.461,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,82.468,86.462,0,1,3.462,,86.463,87.462,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,87.463,92.578,0,0,4.582,,92.579,93.578,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,93.58,97.362,0,1,3.245,,97.362,98.361,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,98.362,100.629,0,1,1.732,,100.629,101.628,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,101.63,103.645,0,1,1.479,,103.645,104.645,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,104.646,108.362,1,1,3.183,,108.362,109.362,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,WS_04,001,2025-01-22_12h43.22.990,empathy_intonation_perc,2024.1.4,MacIntel,62.5,109.363,111.112,0,1,1.212,,111.112,112.112,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
