lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0031,11.8091,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.8096,12.4413,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.4415,12.8745,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.875,13.2075,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,13.21,34.0132,1,0,20.2803,,34.0134,35.0126,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,35.0128,36.1455,0,0,0.6072,,36.1455,37.1445,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,37.1449,37.7945,0,1,0.1169,,37.7946,38.7938,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,38.794,39.4765,0,1,0.1477,,39.4765,40.476,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,40.4762,41.1593,0,1,0.1506,,41.1594,42.1585,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,637d4793730be3ac44f5a4a5,001,2024-06-03_09h42.30.138,empathy_intonation_perc,2024.1.4,Win32,59.88023952,42.1589,42.8248,0,0,0.1308,,42.8249,43.8247,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
