lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0039,6.6122,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6126,14.2595,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2682,23.294,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.3056,28.71,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,28.7226,31.1265,0,1,1.8794,,31.1268,32.1276,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,32.1283,33.4605,1,1,0.8066,,33.4605,34.4605,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,34.4609,36.3774,0,1,1.3789,,36.3774,37.3766,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,37.3878,39.4439,0,1,1.5291,,39.444,40.444,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,40.4446,42.3442,0,1,1.361,,42.3442,43.3442,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,43.3582,45.0764,1,1,1.194,,45.0764,46.0775,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,46.078,47.7443,0,1,1.1249,,47.7444,48.7442,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,48.7447,50.8276,0,1,1.5425,,50.8276,51.8276,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,51.8393,52.9775,1,1,0.6221,,52.9776,53.9768,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,53.9773,55.1111,1,1,0.6125,,55.1111,56.111,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,56.1116,57.7611,0,1,1.1109,,57.7611,58.7606,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,58.761,60.5936,0,1,1.2978,,60.5937,61.594,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,,,,,,61.5946,63.8615,,,,,,,,,,,,,,,
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,11,sauna,,,,,,63.8781,65.5782,1,0,1.1626,,0,0,0,10,1,three_way_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,61,trip,,,,,,65.5788,69.578,0,1,3.4601,,0,1,1,60,1,pseudoword,0,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,79,filte,,,,,,69.5896,71.3605,0,1,1.2563,,0,2,2,78,1,pseudoword,0,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,20,total,,,,,,71.361,72.6946,1,0,0.8233,,0,3,3,19,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,96,brigan,,,,,,72.695,75.3281,0,1,2.0947,,0,4,4,95,1,pseudoword,0,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,28,debido,,,,,,75.3286,76.7614,1,0,0.8943,,0,5,5,27,1,non_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,21,casual,,,,,,76.7619,78.0445,1,0,0.7574,,0,6,6,20,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,90,duyo,,,,,,78.0448,79.5273,0,1,0.9607,,0,7,7,89,1,pseudoword,0,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,15,actor,,,,,,79.5276,80.745,1,0,0.6954,,0,8,8,14,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,27,pelado,,,,,,80.7454,82.9616,1,0,1.6793,,0,9,9,26,1,non_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,44,llamar,,,,,,82.962,84.145,1,0,0.6569,,0,10,10,43,1,non_cognate,1,REAL,FALSA
,,,,,,,,,659d55d8b74f3f97ea13d63e,001,2024-06-03_09h45.30.037,empathy_intonation_perc,2024.1.4,MacIntel,56.81818182,,,,,,,,,,,,,,24,civil,,,,,,84.1453,86.3274,1,0,1.6499,,0,11,11,23,1,two_way_cognate,1,REAL,FALSA
