lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0076,7.1384,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1394,11.669,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6697,17.0058,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0064,23.5823,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,23.5878,30.2208,1,0,6.0993,,30.2212,31.221,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,31.2219,32.633,1,1,0.8676,,32.6331,33.6226,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,33.623,36.1406,0,1,1.9686,,36.1407,37.1358,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,37.1362,38.6037,1,0,0.9345,,38.6038,39.5932,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,39.5937,42.0613,0,1,1.9179,,42.0614,43.0624,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,661d78992081260278eea965,001,2024-06-03_09h26.45.477,empathy_intonation_perc,2024.1.4,Win32,60.60606061,43.0628,44.8134,0,0,1.2004,,44.8135,45.8143,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
